dataset,suite_or_system,cases,total_tokens,avg_tokens_per_case,total_calls,avg_calls_per_case,elapsed_sec,avg_elapsed_sec_per_case
RCAEval,RE1-OB,125,0,0.000000,0,0.000000,33.423000,0.267384
RCAEval,RE1-SS,125,0,0.000000,0,0.000000,51.709000,0.413672
RCAEval,RE1-TT,125,0,0.000000,0,0.000000,150.604000,1.204832
RCAEval,RE2-OB,91,303643,3336.736264,12,0.131868,2142.257000,23.541286
RCAEval,RE2-SS,90,742128,8245.866667,29,0.322222,1701.708000,18.907867
RCAEval,RE2-TT,90,0,0.000000,0,0.000000,4856.579392,53.961993
RCAEval,RE3-OB,30,301132,10037.733333,13,0.433333,1005.434000,33.514467
RCAEval,RE3-SS,30,1083432,36114.400000,36,1.200000,2609.405000,86.980167
RCAEval,RE3-TT,30,203294,6776.466667,6,0.200000,805.880000,26.862667
Eadro,Eadro-TT,8,1089968,136246.000000,48,6.000000,660.956000,82.619500
Eadro,Eadro-SN,8,1055756,131969.500000,48,6.000000,633.753000,79.219125
